n_samples,mrr,top1,top3,top5,top10,top20,n_clusters,cluster_topm,score_mode,tau,c_value,candidate_onehot,embedding_dim,use_type_probs,reranker_kind,mlp_hidden,mlp_alpha,train_cluster_samples,cluster_sizes
648,0.42605206514448574,0.3132716049382716,0.38580246913580246,0.5092592592592593,0.8009259259259259,0.9861111111111112,10,1,max,2.0,0.1,True,16,True,mlp,"64,32",0.0001,2718,"[18, 9, 3, 7, 3, 1, 3, 4, 1, 1]"
648,0.4184118029833709,0.32098765432098764,0.4166666666666667,0.44753086419753085,0.6311728395061729,0.8996913580246914,10,2,max,2.0,0.1,True,16,True,mlp,"64,32",0.0001,2718,"[18, 9, 3, 7, 3, 1, 3, 4, 1, 1]"
648,0.38025917367106765,0.2854938271604938,0.3888888888888889,0.5339506172839507,0.5370370370370371,0.6589506172839507,10,1,sum,2.0,1.0,True,16,True,mlp,"64,32",0.0001,2718,"[18, 9, 3, 7, 3, 1, 3, 4, 1, 1]"
648,0.37824662395289466,0.2839506172839506,0.375,0.4783950617283951,0.6033950617283951,0.6033950617283951,10,2,sum,2.0,1.0,True,16,True,mlp,"64,32",0.0001,2718,"[18, 9, 3, 7, 3, 1, 3, 4, 1, 1]"
648,0.42605206514448574,0.3132716049382716,0.38580246913580246,0.5092592592592593,0.8009259259259259,0.9861111111111112,10,1,max,2.0,1.0,True,16,True,mlp,"64,32",0.0001,2718,"[18, 9, 3, 7, 3, 1, 3, 4, 1, 1]"
648,0.4184118029833709,0.32098765432098764,0.4166666666666667,0.44753086419753085,0.6311728395061729,0.8996913580246914,10,2,max,2.0,1.0,True,16,True,mlp,"64,32",0.0001,2718,"[18, 9, 3, 7, 3, 1, 3, 4, 1, 1]"
648,0.38025917367106765,0.2854938271604938,0.3888888888888889,0.5339506172839507,0.5370370370370371,0.6589506172839507,10,1,sum,2.0,10.0,True,16,True,mlp,"64,32",0.0001,2718,"[18, 9, 3, 7, 3, 1, 3, 4, 1, 1]"
648,0.37824662395289466,0.2839506172839506,0.375,0.4783950617283951,0.6033950617283951,0.6033950617283951,10,2,sum,2.0,10.0,True,16,True,mlp,"64,32",0.0001,2718,"[18, 9, 3, 7, 3, 1, 3, 4, 1, 1]"
648,0.42605206514448574,0.3132716049382716,0.38580246913580246,0.5092592592592593,0.8009259259259259,0.9861111111111112,10,1,max,2.0,10.0,True,16,True,mlp,"64,32",0.0001,2718,"[18, 9, 3, 7, 3, 1, 3, 4, 1, 1]"
648,0.4184118029833709,0.32098765432098764,0.4166666666666667,0.44753086419753085,0.6311728395061729,0.8996913580246914,10,2,max,2.0,10.0,True,16,True,mlp,"64,32",0.0001,2718,"[18, 9, 3, 7, 3, 1, 3, 4, 1, 1]"
